itemId,name,reason,containerId,position,retrieval_steps
1624,Food_Packet,Expired,CQ01,"(0,0,1993.1),(28.7,13.0,2007.7)",[]
1640,Medical_Scanner,Expired,L04,"(79.0,36.0,63.5),(107.0,46.6,89.8)",[]
1647,Antibiotic_Supply,Expired,EA03,"(0,49.1,94.3),(10.2,98.0,139.7)",[]
1650,Antibiotic_Supply,Expired,L04,"(138.5,36.0,63.5),(166.8,53.5,82.2)",[]
1651,Medical_Scanner,Expired,L04,"(166.8,36.0,63.5),(180.5,68.4,104.0)",[]
1654,Antibiotic_Supply,Expired,EA02,"(74.4,0,300.5),(93.7,43.5,348.5)",[]
1659,Antibiotic_Supply,Expired,L04,"(0,0,91.4),(17.7,38.1,118.3)",[]
1664,Medical_Scanner,Expired,EA01,"(33.7,0,101.3),(78.5,28.5,122.2)",[]
1692,Antibiotic_Supply,Expired,L04,"(50.2,0,91.4),(87.5,48.7,113.1)",[]
1695,Food_Packet,Expired,CQ01,"(0,0,2191.0),(23.9,15.9,2206.6)",[]
1708,Antibiotic_Supply,Expired,EA02,"(0,0,348.5),(18.2,28.3,391.9)",[]
1742,Medical_Scanner,Expired,EA01,"(0,28.5,101.3),(12.6,61.4,132.4)",[]
1767,Antibiotic_Supply,Expired,EA02,"(18.2,0,348.5),(46.2,44.5,372.3)",[]
1785,Antibiotic_Supply,Expired,EA01,"(12.6,28.5,101.3),(55.5,65.9,137.9)",[]
1793,Antibiotic_Supply,Expired,L04,"(175.8,0,91.4),(212.3,35.7,121.0)",[]
1797,Food_Packet,Expired,CQ01,"(0,0,2627.9),(19.4,17.4,2639.0)",[]
1802,Food_Packet,Expired,TA01,"(13.4,31.0,422.9),(34.4,47.9,439.2)",[]
1856,Medical_Scanner,Expired,EA01,"(77.3,28.5,101.3),(119.5,51.0,144.9)",[]
1920,Food_Packet,Expired,TA01,"(23.6,115.8,422.9),(37.8,125.9,441.9)",[]
1932,Food_Packet,Expired,CQ01,"(12.1,0,3029.8),(28.4,23.5,3044.5)",[]
1949,Medical_Scanner,Expired,L04,"(95.5,0,118.1),(143.0,31.9,165.8)",[]
1986,Antibiotic_Supply,Expired,L04,"(74.5,13.4,118.1),(112.7,55.6,154.2)",[]
